,Primitive,right_gripper_pole_x_1,right_gripper_pole_y_1,right_gripper_pole_z_1,left_gripper_pole_x_1,left_gripper_pole_y_1,left_gripper_pole_z_1,right_gripper_pole_q_11,right_gripper_pole_q_12,right_gripper_pole_q_13,right_gripper_pole_q_14,left_gripper_pole_q_11,left_gripper_pole_q_12,left_gripper_pole_q_13,left_gripper_pole_q_14,table1_x_1,table1_y_1,table1_z_1,table1_quat1_1,table1_quat2_1,table1_quat3_1,table1_quat4_1,table2_x_1,table2_y_1,table2_z_1,table2_quat1_1,table2_quat2_1,table2_quat3_1,table2_quat4_1,right_gripper_pole_x_2,right_gripper_pole_y_2,right_gripper_pole_z_2,left_gripper_pole_x_2,left_gripper_pole_y_2,left_gripper_pole_z_2,right_gripper_pole_q_21,right_gripper_pole_q_22,right_gripper_pole_q_23,right_gripper_pole_q_24,left_gripper_pole_q_21,left_gripper_pole_q_22,left_gripper_pole_q_23,left_gripper_pole_q_24,table1_x_2,table1_y_2,table1_z_2,table1_quat1_2,table1_quat2_2,table1_quat3_2,table1_quat4_2,table2_x_2,table2_y_2,table2_z_2,table2_quat1_2,table2_quat2_2,table2_quat3_2,table2_quat4_2,x_displacement1,y_displacement1,x_displacement2,y_displacement2,grippers_open,label
17,Move_Sideways,0.8807945291956171,0.15849821926785246,0.15024667203802855,0.880014780170743,0.37279144762926403,0.15034530758212836,0.9556091319794033,0.2173707754095772,-0.13378748329344045,-0.14718030503235774,0.982176642746051,0.06145440680670991,-0.14383822533514684,-0.14718030503235774,1.0359001950238595,0.28843580885194764,0.29989498814605325,0.0003644278051323622,-0.0007705987660673642,-0.001809217329898247,0.999998000049285,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8807776923043784,0.15748593533914787,0.150250548758456,0.8799626195623954,0.37050204837313383,0.15031862913612895,0.9562516394119288,0.21660282187661917,-0.13299496745308095,-0.14483907728661458,0.9824628202304524,0.0612607294761272,-0.1436411083902112,-0.14483907728661458,1.0361290527092886,0.2868845715823117,0.29990892195761737,0.0004231908165256647,-0.0007997127515651545,-0.0005297502933841986,0.9999994503666861,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,0,1
18,Move_Sideways,0.8807776923043784,0.15748593533914787,0.150250548758456,0.8799626195623954,0.37050204837313383,0.15031862913612895,0.9562516394119288,0.21660282187661917,-0.13299496745308095,-0.14483907728661458,0.9824628202304524,0.0612607294761272,-0.1436411083902112,-0.14483907728661458,1.0361290527092886,0.2868845715823117,0.29990892195761737,0.0004231908165256647,-0.0007997127515651545,-0.0005297502933841986,0.9999994503666861,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8807801078983694,0.15649424239683635,0.15025850326574663,0.8799446366805,0.3681856818607855,0.1503115766241808,0.9569010768287296,0.2158248472624111,-0.1321671994441399,-0.14244927468845753,0.9827523911760728,0.06107605249293472,-0.14340828854101756,-0.14244927468845753,1.0363731925481923,0.2852319181480797,0.29991518684634316,0.00045539837011142055,-0.0008243360897819324,0.0006459839514492705,0.9999993478933223,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,0,1
19,Move_Sideways,0.8807801078983694,0.15649424239683635,0.15025850326574663,0.8799446366805,0.3681856818607855,0.1503115766241808,0.9569010768287296,0.2158248472624111,-0.1321671994441399,-0.14244927468845753,0.9827523911760728,0.06107605249293472,-0.14340828854101756,-0.14244927468845753,1.0363731925481923,0.2852319181480797,0.29991518684634316,0.00045539837011142055,-0.0008243360897819324,0.0006459839514492705,0.9999993478933223,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.880791233855473,0.1555091905181949,0.15026545689848467,0.8799363345215365,0.36585918134544665,0.15031375631382846,0.9575578411447789,0.21503416866772865,-0.13131550312499857,-0.1399983064417478,0.9830413751327481,0.060910524144804135,-0.1431582471935967,-0.1399983064417478,1.0366127464669452,0.28354942616876044,0.2999181326910925,0.0004760941677276043,-0.0008471389501203243,0.0017665273322651674,0.999997967533498,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,0,1
20,Lower,0.8800772217045902,0.15629161489185836,0.14996549002160567,0.8800635308020927,0.3625390346147489,0.14993224619382914,0.9568629078873286,0.21586300129461364,-0.1326548936276284,-0.14219430149668333,0.9830107708295601,0.057655148893623255,-0.14358822121892056,-0.14219430149668333,1.0379027185968708,0.2830135415775143,0.29998883519123326,1.0915644209051616e-05,6.298426183094868e-06,0.007738678878740261,0.9999700558968705,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8800476038054296,0.15628027667664723,0.14385675434579362,0.8800361713014037,0.36253966450875863,0.14381996596297617,0.9568614493932168,0.21586111334074695,-0.13266436532407097,-0.14219814550677837,0.9830081552410542,0.05765621321833996,-0.14360502924727656,-0.14219814550677837,1.0378814504996166,0.2830127064023375,0.29998945883646744,3.181449095702429e-06,5.494326535641263e-07,0.00779558589262865,0.9999696139534276,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
21,Lower,0.8800476038054296,0.15628027667664723,0.14385675434579362,0.8800361713014037,0.36253966450875863,0.14381996596297617,0.9568614493932168,0.21586111334074695,-0.13266436532407097,-0.14219814550677837,0.9830081552410542,0.05765621321833996,-0.14360502924727656,-0.14219814550677837,1.0378814504996166,0.2830127064023375,0.29998945883646744,3.181449095702429e-06,5.494326535641263e-07,0.00779558589262865,0.9999696139534276,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8800587061147748,0.15628182221388734,0.13522464611447535,0.8800464398472518,0.36254478013801567,0.13518286225818035,0.9568622387819737,0.21585611422144335,-0.1326593544055287,-0.14220509707839835,0.9830069445054728,0.05765905225341418,-0.1436090891096545,-0.14220509707839835,1.0378875791406146,0.2830087759738518,0.2999892739438203,7.70338087300368e-06,1.49363203110417e-05,0.007790682125523758,0.9999696520342921,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
22,Lower,0.8800587061147748,0.15628182221388734,0.13522464611447535,0.8800464398472518,0.36254478013801567,0.13518286225818035,0.9568622387819737,0.21585611422144335,-0.1326593544055287,-0.14220509707839835,0.9830069445054728,0.05765905225341418,-0.1436090891096545,-0.14220509707839835,1.0378875791406146,0.2830087759738518,0.2999892739438203,7.70338087300368e-06,1.49363203110417e-05,0.007790682125523758,0.9999696520342921,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8800692447723323,0.15628588298957802,0.12570280276907386,0.8800583173304424,0.3625479798756364,0.12565980127657614,0.9568619091499027,0.21585359057817444,-0.1326605786232484,-0.1422100036279389,0.9830060051309985,0.057660372188651096,-0.14361364868330737,-0.1422100036279389,1.037879667553223,0.28300981150020244,0.29998890596018846,5.691893909248173e-06,1.7756181366079991e-06,0.007790799795454901,0.9999696512409747,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
23,Lower,0.8800692447723323,0.15628588298957802,0.12570280276907386,0.8800583173304424,0.3625479798756364,0.12565980127657614,0.9568619091499027,0.21585359057817444,-0.1326605786232484,-0.1422100036279389,0.9830060051309985,0.057660372188651096,-0.14361364868330737,-0.1422100036279389,1.037879667553223,0.28300981150020244,0.29998890596018846,5.691893909248173e-06,1.7756181366079991e-06,0.007790799795454901,0.9999696512409747,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.88007592793507,0.15628980494840453,0.11586833298154102,0.8800650810275189,0.3625485872360574,0.1158317824973545,0.9568610789664264,0.21585271670964698,-0.13266465944744654,-0.14221310903698062,0.9830064932006962,0.05766005945306908,-0.1436097000181443,-0.14221310903698062,1.0378791768473459,0.28301000717278274,0.299989054673165,5.149080074754583e-06,8.90176788254217e-07,0.0077910881817461666,0.9999696489982277,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
24,Lower,0.88007592793507,0.15628980494840453,0.11586833298154102,0.8800650810275189,0.3625485872360574,0.1158317824973545,0.9568610789664264,0.21585271670964698,-0.13266465944744654,-0.14221310903698062,0.9830064932006962,0.05766005945306908,-0.1436097000181443,-0.14221310903698062,1.0378791768473459,0.28301000717278274,0.299989054673165,5.149080074754583e-06,8.90176788254217e-07,0.0077910881817461666,0.9999696489982277,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8800801859012305,0.1562928476626222,0.10592530368109147,0.8800715940849797,0.3625488556541954,0.10589262732258536,0.9568603563789523,0.21585235892850457,-0.1326680442345439,-0.1422153563238698,0.9830068328370498,0.057659610849995144,-0.14360732896405665,-0.1422153563238698,1.0378790905326223,0.2830104477797305,0.2999892201233915,4.2268462404362e-06,7.115094419712738e-07,0.00779129495263037,0.9999696473916538,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
25,Lower,0.8800801859012305,0.1562928476626222,0.10592530368109147,0.8800715940849797,0.3625488556541954,0.10589262732258536,0.9568603563789523,0.21585235892850457,-0.1326680442345439,-0.1422153563238698,0.9830068328370498,0.057659610849995144,-0.14360732896405665,-0.1422153563238698,1.0378790905326223,0.2830104477797305,0.2999892201233915,4.2268462404362e-06,7.115094419712738e-07,0.00779129495263037,0.9999696473916538,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8800845470197719,0.15629602450392116,0.09594340741035462,0.8800773348723808,0.36254902267448524,0.0959139858152114,0.9568596826140099,0.21585226891839757,-0.1326711083526696,-0.14221716773677562,0.9830070436747327,0.05765919125548791,-0.1436060010522221,-0.14221716773677562,1.0378791040879074,0.28301068254111744,0.2999893478852274,3.679760606028156e-06,7.256300713861013e-07,0.007791431945561819,0.9999696463264125,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
26,Lower,0.8800845470197719,0.15629602450392116,0.09594340741035462,0.8800773348723808,0.36254902267448524,0.0959139858152114,0.9568596826140099,0.21585226891839757,-0.1326711083526696,-0.14221716773677562,0.9830070436747327,0.05765919125548791,-0.1436060010522221,-0.14221716773677562,1.0378791040879074,0.28301068254111744,0.2999893478852274,3.679760606028156e-06,7.256300713861013e-07,0.007791431945561819,0.9999696463264125,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.8800861409607071,0.15629789815864606,0.08594927767415503,0.8800784210387992,0.3625490576835839,0.08592260765969435,0.9568591146811621,0.21585214930200772,-0.1326736746601791,-0.14221877634634403,0.9830070452196127,0.057659006633605785,-0.14360595832942566,-0.14221877634634403,1.037879044014827,0.28301077762367294,0.2999894106557987,3.3868663004994596e-06,6.871957426584841e-07,0.007791418789628932,0.9999696464299812,1.0574680420755145,-0.28627766605247623,0.30000000000000004,0.0,0.0,0.0,1.0,0.07409002879974345,0.02103651807005188,0.0574680420755144,-0.026902666052476234,1,1
